country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Afghanistan,,,,,,4,3,92,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,283,360,352,382,294,236,368,153,287,563,1048,2154,1873,1411,,,,,,,,,,,34,,,35,3,41,150,344,377,660,521,235,288,116,176,252,361,391,16194
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,,,0,4,79
Albania,20,10,11,21,22,132,98,42,47,129,62,74,46,11,7,140,74,161,265,297,250,330,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,4,1,5,2773
Algeria,,,,,,,,,,,,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1077,1512,1853,1358,1280,1231,575,533,242,135,370,320,455,735,1035,20,20,182,295,83,37,98,370,408,542,249,195,242,159,340,509,1529,1075,834,1126,663,362,616,896,2899,962,1253,140,31096
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,242,184,105,146,111,155,241,379,576,482,531,705,1186,965,152,140,,,122,111,1,44,7,149,358,147,156,148,48,8,39,7,31,29,20,,,,31,2,47,142,108,270,166,8489
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,146,430,223,248,369,396,236,450,260,494,198,447,451,445,867,421,1322,685,450,229,224,71,14,169,,27,14,209,43,28,105,172,276,213,6,15,11,169,3,9,24,23,11,11,15,3,12,7,21,17,43,25,53,12161
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,916
Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,383,528,900,694,764,450,828,240,319,60,701,884,96,81,268,1019,191,404,449,131,633,626,515,819,592,743,693,352,213,365,449,262,64,597,35,542,673,338,1236,663,801,472,459,727,677,445,777,1511,1559,868,236,919,1464,1025,1671,1575,1399,41110
Austria,,,,2,,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,102,135,103,22,22,6,12,,8,72,195,73,97,145,13,28,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,69,42,56,24,4,269,190,286,7,8,8,6,2,1,13,8,4,14,3731
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,159,213,33,145,155,557,339,404,612,335,274,275,322,25,4072
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,163
Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,0,1,,,2,9,8,19,40,59,10,131,55,134,250,137,71,362,68,42,1,8,71,51,198,9,,299,28,54,1,10,66,63,26,20,,103,1,26,72,1,17,26,28,65,16,2665
Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,78,44,39,70,62,45,1,55,62,127,109,59,63,3,,241,301,187,79,113,44,61,119,7,26,1,186,203,280,33,8,32,10,221,88,13,,36,117,184,645,206,632,443,322,149,743,6557
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,40
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,96,115,147,142,331,1354
Belgium,198,485,920,705,411,361,682,680,897,179,92,132,188,569,644,507,101,35,216,232,528,509,512,599,111,128,177,180,427,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,48,21,15,3,27,174,203,91,32,21,33,46,104,56,4,7,1,5,17795
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,1
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,6,,,10,3,1,3,,1,0,0,,,,,,,1,,,,,,7,,,,,3,,1,0,0,20,2,,,,,,,92
Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,,,3
Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,1,1,14,16,1,2,2,13,10,20,33,16,1,11,49,39,26,6,,,18,13,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,741
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,70,2,25,,,,,,,,,,,,,,,,,,,,,167
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,9,,,,4,,26,40,4,22,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,13,10,,6,8,,,5,3,4,2,387
Brazil,,615,,133,113,379,55,152,140,129,237,212,62,128,25,150,57,218,236,110,219,181,514,602,256,539,582,554,895,407,367,64,75,92,125,89,140,234,129,745,150,168,90,58,313,248,545,473,239,365,121,631,223,110,86,224,179,189,180,156,311,306,328,223,209,219,109,100,272,169,16953
Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,2,1,15,1,0,,46,65,,8,12,85,60,,13,,,,3,3,,,,,17,31,7,5,,4,1,0,0,1,2,,,33,33,229,22,15,122,36,,,,,921
Bulgaria,156,63,97,349,617,307,289,498,631,165,474,523,494,538,326,372,218,329,250,532,765,395,465,290,305,394,375,492,885,322,574,961,575,728,910,598,918,435,243,334,758,340,41,1,1,1,122,,,7,,,,2,12,132,22,48,116,119,8,29,5,,,3,,,,2,19961
Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,8,8,9,,,0,9,1,16,9,2,3,,12,,,2,,7,,,,,,0,,,,,,12,3,4,,2,0,15,4,,5,,7,2,23,7,174
Burundi,,,,,,,,,,,,,,,,,5,2,,3,,,,0,,,,,,,1,5,3,9,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,2,,,,58
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,3,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,,3,72
Cambodia,,,,,4,18,36,10,4,2,1,2,5,11,39,39,37,20,15,18,6,22,106,123,23,,,,43,,34,,,13,67,68,134,50,10,119,45,,,2,72,1,28,21,,,,,,,,,14,56,,4,34,,77,67,,,,,5,2,1508
Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,12,,,29,73,,1,,28,114,5,126,16,11,5,1,3,8,,3,,,,4,6,9,4,,7,6,,,5,2,,1,,10,,9,139,122,9,20,8,2,15,833
Canada,264,300,1004,1890,1125,1274,721,764,244,368,171,1576,1231,1012,728,527,273,243,324,504,611,455,382,80,224,195,28,28,172,235,441,452,276,649,646,848,810,787,742,67,160,751,410,201,482,411,431,362,130,198,570,538,436,152,353,118,105,446,398,101,228,336,197,202,316,408,233,334,157,200,32030
Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,1,2,5,1,6,,,1,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,1,,46
Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,9,10,8,3,,,10,,,33,9,1,22,21,9,57,,,,,3,1,,,7,7,,16,,,,,17,20,75,35,38,1,4,59,58,1,2,6,3,1,555
Chile,1,247,19,10,40,5,90,28,32,20,312,46,19,127,34,57,84,140,62,13,57,198,51,278,299,195,413,58,155,136,145,148,344,140,450,10,174,156,90,141,130,111,173,88,82,342,178,296,87,207,202,60,74,187,70,449,1095,662,397,335,475,326,62,54,141,144,40,50,70,15,11625
China,2573,2197,3430,3144,3500,1730,2255,2126,2778,3159,2431,936,307,450,395,218,233,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,106,201,303,481,1225,1237,325,730,1545,951,403,1749,2521,2819,2875,2342,3284,3582,2862,1654,1856,1387,1020,1088,1604,1323,1063,1267,1142,1371,1633,887,79524
Colombia,3,8,15,12,31,13,38,15,298,1,5,62,3,29,9,18,32,15,32,121,4,35,129,165,1,287,10,8,12,36,12,28,18,301,661,7,6,4,37,220,13,72,36,68,42,35,49,190,162,44,60,268,171,147,18,16,52,227,110,248,255,145,207,164,160,205,21,99,16,10,6051
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,9
Congo,,,,,,,,,,,1,1,,0,,0,,,1,24,9,27,2,,7,2,2,,35,25,17,3,11,25,25,3,,,28,44,44,,,,,,,27,0,1,0,,,,,4,1,0,,1,27,,23,12,13,2,,,,,447
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,,,3,0,,,,,,,1,,,0,,,,,,,2,,3,,,6,2,1,,,,0,2,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,,27
Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,19,2,7,17,1,,18,,,22,16,38,55,18,,,9,,,,,2,,,0,,,2,,0,,2,0,,31,61,9,,,,,,,,,,5,5,5,14,9,14,392
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,27,53,1,15,31,,,,57,2,24,8,,,19,99,4,11,19,19,,27,11,20,13,2,5,494
Cuba,,9,0,0,3,13,35,8,23,10,129,529,1307,284,248,130,232,162,155,155,155,162,462,430,418,200,317,615,509,416,353,995,981,775,423,352,281,73,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,11943
Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,,5,19,23,32,38,33,122,29,70,82,26,10,39,33,170,98,7,113,4,115,1,6,16,20,26,17,,,44,41,6,,,,,30,,0,1323
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,6,0,1,13,57,42,94,7,594,45,10,23,6,13,71,22,15,,0,,,7,8,1060
Czechoslovakia,96,419,803,975,1272,1287,469,153,562,840,534,667,547,585,579,698,690,754,868,851,748,1123,978,1080,1110,852,215,301,561,498,468,837,912,819,920,1158,807,662,587,872,277,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29490
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,1
Denmark,96,72,361,648,165,172,159,157,97,250,109,335,57,133,482,449,66,72,71,19,312,362,111,,39,149,360,372,367,57,569,567,559,231,72,92,16,99,99,185,124,151,71,46,85,133,71,77,116,68,50,146,45,54,224,116,84,147,93,130,17,,105,38,173,42,102,52,46,43,11234
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,33,5,2,3,3,,1,8,1,,,,1,19,5,,2,,,,,1,,3,,4,7,,,,,,,6,5,14,1,18,,,8,159
Dominican Republic,2,12,43,21,2,6,7,1,17,4,19,11,0,7,5,10,9,1,1,0,1,2,7,0,,2,12,,,,9,5,31,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,8,35,2,,,,10,51,12,,,,1,0,,,,428
DR Congo,,,,,,,,,,,2,9,13,32,83,31,26,16,7,28,19,155,15,5,9,391,132,31,38,15,10,12,15,5,16,1,1,36,1,,4,,2,,,0,61,6,10,46,88,15,12,,,19,17,,18,44,151,,10,1,,2,43,,,,1705
East Germany (GDR),29,,178,92,10,,678,1122,1064,490,306,227,791,789,1054,922,1331,1181,1256,833,849,575,999,1053,999,580,1301,1083,1084,916,918,782,1072,926,1106,1363,654,362,599,695,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30671
Ecuador,,,,11,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,81,35,15,22,40,226,572,191,109,257,123,257,388,349,23,25,40,26,20,3,139,4,18,9,36,30,95,27,17,,10,1,,15,48,17,2,102,77,90,68,88,11,53,27,26,20,5,2,4149
Egypt,163,57,0,1,142,698,1065,479,488,334,143,544,686,737,843,950,1533,2198,1263,1227,1673,1984,3301,2593,1099,571,165,415,135,630,1004,1182,2492,1705,1500,969,1480,1643,419,295,562,884,972,1255,2020,1716,981,1038,480,514,837,832,719,630,654,797,722,690,333,159,686,630,281,675,420,1438,1684,2406,1674,1193,66690
ELF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,1,29,46,15,8,1,8,12,5,35,12,62,44,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,,,,2,,20,,1,,,,433
EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,12,7,28,30,68,3,57,65,2,92,,,,7,,396
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,7,41,53,214,31,20,57,18,17,80,98,,4,,,,,,,,,,,,,678
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,12,4,1,27,,1,13,8,20,7,19,29,43,13,1,2,18,2,18,29,33,17,30,382
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,8
Ethiopia,2,19,,6,8,1,1,16,23,6,24,4,21,27,4,14,99,30,33,24,89,54,33,5,16,58,135,1096,982,113,330,328,521,370,285,259,360,251,155,47,3,80,,,,,,69,211,155,140,,20,174,239,,,,,,54,76,193,153,33,10,5,1,10,71,7545
FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,1,,,35
Finland,,,19,,,11,15,3,25,41,54,65,38,237,77,81,42,76,23,21,15,5,26,13,174,127,90,30,105,47,328,119,132,112,126,203,97,69,143,85,90,65,435,407,246,197,553,398,552,770,474,9,12,227,77,107,136,108,135,42,52,58,77,296,196,293,160,76,135,70,9324
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
France,218,988,1144,1699,1409,1342,1285,701,1086,852,507,356,153,63,1185,255,76,93,113,101,124,141,93,116,52,45,233,250,278,64,70,101,137,103,68,15,96,84,137,107,60,944,420,91,75,97,64,223,174,110,107,66,43,57,93,2,67,74,5,76,103,48,91,107,17,42,45,76,185,102,19603
FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Gabon,,,,,,,,,,,,3,,,3,0,2,,2,4,1,24,,2,10,35,48,28,80,,26,37,5,11,102,2,7,10,28,10,29,,,,,,,,,,,,,,6,,20,18,,,22,5,1,2,,5,3,,,7,596
Gambia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,,,,,,36
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,37,92,97,161,132,38,,2,,5,1,,,7,39,4,766
Germany,,,,,,85,1358,2271,2792,1529,2033,2018,2457,3283,3710,3323,3211,1324,1198,1256,1475,2340,805,1709,2109,1813,1395,1049,709,77,165,277,471,437,414,131,311,321,430,708,716,694,685,535,423,228,246,61,543,129,113,133,71,64,238,199,409,75,285,339,282,84,131,113,95,96,55,43,14,39,56128
